Defectors,Cooperators,%Defectors,%Cooperators,Avg Fit,Max Fit
1004,996,50.2,49.8,0.0,0
1425,575,71.25,28.749999999999996,0.48080268272031607,1.2
1641,359,82.05,17.95,0.3671452937471172,1.2
1724,276,86.2,13.8,0.3094523166451124,0.9
1766,234,88.3,11.700000000000001,0.2644408756908117,0.75
1801,199,90.05,9.950000000000001,0.2365359939349738,0.7599999999999999
1805,195,90.25,9.75,0.2146721354391249,0.6999999999999998
1801,199,90.05,9.950000000000001,0.19899974577151167,0.6857142857142856
1809,191,90.45,9.55,0.18741337334908117,0.6874999999999999
1813,187,90.64999999999999,9.35,0.1764749275966285,0.6555555555555554
1805,195,90.25,9.75,0.16968982086724646,0.64
1812,188,90.60000000000001,9.4,0.16338434333860788,0.6545454545454545
1823,177,91.14999999999999,8.85,0.15821895288464374,0.6666666666666666
1815,185,90.75,9.25,0.15406856927820145,0.6461538461538462
1794,206,89.7,10.299999999999999,0.14994854506454525,0.6142857142857142
1793,207,89.64999999999999,10.35,0.14692718535845303,0.6133333333333333
1793,207,89.64999999999999,10.35,0.14459578068259468,0.6
1799,201,89.95,10.05,0.14205099968353424,0.5882352941176471
1796,204,89.8,10.2,0.14010995501768914,0.5944444444444443
1799,201,89.95,10.05,0.1383368765845607,0.5999999999999999
1795,205,89.75,10.25,0.13677512684307178,0.5899999999999999
1788,212,89.4,10.6,0.13524078227637298,0.5666666666666665
1800,200,90.0,10.0,0.1343166565195949,0.559090909090909
1788,212,89.4,10.6,0.1334139195484438,0.5391304347826088
1776,224,88.8,11.200000000000001,0.13247314971124646,0.5333333333333334
1784,216,89.2,10.8,0.13104642367032274,0.5280000000000001
1783,217,89.14999999999999,10.85,0.1296079962534087,0.5230769230769232
1777,223,88.85,11.15,0.12863232221925022,0.5185185185185186
1781,219,89.05,10.95,0.12781764398922882,0.5214285714285715
1781,219,89.05,10.95,0.12740633741675547,0.5172413793103449
1757,243,87.85,12.15,0.12704064064427825,0.5133333333333334
1766,234,88.3,11.700000000000001,0.12634050447799544,0.5096774193548388
1788,212,89.4,10.6,0.12544553539064268,0.51875
1765,235,88.25,11.75,0.12507497308646287,0.5212121212121213
1752,248,87.6,12.4,0.1250666199245888,0.5176470588235295
1741,259,87.05000000000001,12.950000000000001,0.12505162768863914,0.5085714285714286
1733,267,86.65,13.350000000000001,0.1252420686169453,0.5
1747,253,87.35000000000001,12.65,0.1254500616360647,0.49189189189189186
1749,251,87.45,12.55,0.12538158042276434,0.4842105263157894
1750,250,87.5,12.5,0.12520921611614433,0.4769230769230769
1778,222,88.9,11.1,0.12504908460077002,0.4699999999999999
1782,218,89.1,10.9,0.12474016560067483,0.4634146341463414
